video,video_links,frames,processed_frames,extracted_text
video1,video1L,https://drive.google.com/drive/folders/1nttHMqdIGMReI39auM1PNMwoPvWcvx7t?usp=sharing,https://drive.google.com/drive/folders/1Ll2KLbwQFL49XfahXOWTbtA0tFt6HKqZ?usp=sharing,https://drive.google.com/file/d/1hxbdVu5CSJZbd61tbjdrPQzziUDIlW6V/view?usp=sharing
video2,video2L,https://drive.google.com/drive/folders/1_tr4bwWS-Hv0E-U0btnGUNIX8Yb8ii9Y?usp=drive_link,https://drive.google.com/drive/folders/1BTB6kFBUXLxY6bHi3qEs9uskkXedEyR7?usp=drive_link,https://drive.google.com/file/d/1Lswa_4sMKDvbvYA7yuY1RvZgmhWtEclJ/view?usp=drive_link
video3,video3L,https://drive.google.com/drive/folders/1frLpwsRXQriDtVc0wQioi9B-TtLu0ZP1?usp=drive_link,https://drive.google.com/drive/folders/1d0IpzisjGrBC2QFg9ZtzWoQEnkEIl5cQ?usp=drive_link,https://drive.google.com/file/d/1-4SQZz6y8cwsxi9rp9ZoEr8Pbv2dZutx/view?usp=drive_link
video4,video4L,https://drive.google.com/drive/folders/1grUMdfHDJw2TSiOzlRHS2oxjfDWzcx6A?usp=drive_link,https://drive.google.com/drive/folders/1_P7hqURbB3HD7hjO17VltdyLWwB74F1s?usp=drive_link,https://drive.google.com/file/d/1HSvYuYHGJcKh7Pqs1ahJ26XTnTD7__nn/view?usp=drive_link
video5,video5L,https://drive.google.com/drive/folders/1-A2Mpk32jaQxvn-VQSkyXRhlQMcUHq9M?usp=drive_link,https://drive.google.com/drive/folders/1CX0F3KiSEpCG11NGigUGt4duOORX1JNE?usp=drive_link,https://drive.google.com/file/d/1CtvCzKdN4RlIHU83fsZNPCTHZRGE8a1H/view?usp=drive_link
video6,video6L,https://drive.google.com/drive/folders/1IOdjFn98TrAb8MQqOS_JXYzqp9DqIJI2?usp=drive_link,https://drive.google.com/drive/folders/19QrkgDheMnfgG_xi5IDwKeMD4TXj95bG?usp=drive_link,https://drive.google.com/file/d/1QFeB-9ke2aW6QRjD01nffPkk_9kmou1l/view?usp=drive_link
video7,video7L,https://drive.google.com/drive/folders/18cnS1VAeqaRcj7FLfWi0ds3Er04NwvLz?usp=drive_link,https://drive.google.com/drive/folders/1QxHqMSZNxRnncPxVUNGK7zkSwinqB_0E?usp=drive_link,https://drive.google.com/file/d/1RZZh3oIMZhT25TCxejsNXAB860vdGt-W/view?usp=drive_link
video8,video8L,https://drive.google.com/drive/folders/182aKOOGrZau1fB1oDLLFCQAhSiqp6YF9?usp=drive_link,https://drive.google.com/drive/folders/1JljMUqJpG4RdGSiUzBKSTCvA4yBhSHxN?usp=drive_link,https://drive.google.com/file/d/1x83XS1mtXT80tFU9U7KWums495xGTXzO/view?usp=drive_link
video 9,video9L,https://drive.google.com/drive/folders/1APcILn2HmpKPa840Y7CTxjocA2FUFWHK?usp=sharing,https://drive.google.com/drive/folders/1H3dkYrOFB-OKW6PaiVwPH2eFpAj3o0zy?usp=sharing,https://drive.google.com/drive/folders/1H3dkYrOFB-OKW6PaiVwPH2eFpAj3o0zy?usp=sharing
video10,video10L,https://drive.google.com/drive/folders/1Kzs1GYR1zQ8UnbmLctJST6_S_V2vltdU?usp=sharing,https://drive.google.com/drive/folders/1z6aCH9bxdDMGYZ_b3MljDjpnhwq_vhNA?usp=sharing,https://drive.google.com/drive/folders/1z6aCH9bxdDMGYZ_b3MljDjpnhwq_vhNA?usp=sharing
video11,video11L,https://drive.google.com/drive/folders/1OzI3LibLLdqeC0RnID0uONxQ1rR0MZ_8?usp=sharing,https://drive.google.com/drive/folders/19h-ZwrBilWM_75VtEVIyVsGtB7rGqdrg?usp=sharing,https://drive.google.com/file/d/1gjs0cLJnIPZcJZNyXEN7fVGP3YUpbOO3/view?usp=sharing
video12,video12L,https://drive.google.com/drive/folders/1IqVD5dbGfycO_QJpZe4Q2KDrj4xsW-gU?usp=sharing,https://drive.google.com/drive/folders/1GaBc2IZ0Va7bQ4Rmu0D9jLi-vtr6zd3O?usp=sharing,https://drive.google.com/file/d/1UDwEaV6MowPlfoHoKppzyJwii1oNNoiz/view?usp=sharing
video13,video13L,https://drive.google.com/drive/folders/1qyvFK2zqJxe09352FV8mnnAo39TSyQ7K?usp=sharing,https://drive.google.com/drive/folders/1b0twIBoIDV7EXiLCgz50Y5qKbCtlpfdP?usp=sharing,https://drive.google.com/file/d/1BCA5hPKfRILSIOHMT8iEEj-X2hpBZglx/view?usp=sharing
video14,video14L,https://drive.google.com/drive/folders/1GogWgCaG8GIn0rPJqSZuprLBZcp9lPtg?usp=sharing,https://drive.google.com/drive/folders/1cyvdeEhfB4Xf9oC9SdvrZDyXAfPMRjpM?usp=sharing,https://drive.google.com/file/d/1HGERtHuLycRqtk2Y2_rmvEeXpxVfbNyT/view?usp=sharing
video15,video15L,https://drive.google.com/drive/folders/1bZ7CQcb5zlMACcg3lEpWr0wErxCT0_pD?usp=sharing,https://drive.google.com/drive/folders/1qrFINGGsrqTkdgZ6xYEQF3NJQguDto7h?usp=sharing,https://drive.google.com/file/d/1O-y6EQXKMBRZRtLLLaPaj7E7Kf0kxFy3/view?usp=sharing
video16,video16L,https://drive.google.com/drive/folders/1Y7e18d18AoaktzCsdMCTNNkMj3iMDURV?usp=sharing,https://drive.google.com/drive/folders/184w5_0Ker6NxRyApG0W307UpOb6sij8S?usp=sharing,https://drive.google.com/file/d/15mof10KlAYt8Qj8PGHi2FPVSfJhNKK7H/view?usp=sharing
video17,video17L,https://drive.google.com/drive/folders/15qGhwWeNKP1LW1Lc7OvTGjJmC090nNEE?usp=sharing,https://drive.google.com/drive/folders/1BZYRbztEzIVCBWCiGYiQpd49ueY5WR-Y?usp=sharing,extracted_code.txthttps://drive.google.com/file/d/1-2JqjirLcRxmkMWlxduoMbGWCxuLsBc0/view?usp=sharing
video18,video18L,https://drive.google.com/drive/folders/1xKj69t23EERRYOMXy3CCEjLuyiRAe42U?usp=sharing,https://drive.google.com/drive/folders/10MxfwfzZRJx8kfPlnva6RUuIVbl2RRsQ?usp=sharing,https://drive.google.com/file/d/1yKRz-to8wLQJAvtBaHuKtIPjM2UOeE4H/view?usp=sharing